class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
ATM,subkind,subkind,False,False,True,2,1,6
Accessed_Account,relator,kind,False,True,False,1,0,4
Accessing_Device,role,role,False,True,False,2,0,6
Account,relator,kind,True,False,False,0,4,4
Active_Account,relator,kind,False,True,False,1,0,4
Bank,subkind,subkind,False,True,False,1,0,6
Client,rolemixin,rolemixin,True,False,False,0,2,6
Client_Organization,role,role,False,True,False,2,0,6
Client_Person,role,role,False,True,False,2,0,6
Device,kind,kind,False,False,True,1,5,6
Inactive_Account,relator,kind,False,True,False,1,0,4
Mobile,subkind,subkind,False,True,False,2,0,6
Organization,kind,kind,True,False,False,0,3,6
Organization_Member,subkind,subkind,False,True,False,1,0,6
PC,subkind,subkind,False,True,False,2,0,6
Person,kind,kind,True,False,False,0,1,6
Spatial_Entity,category,category,True,False,False,0,6,6
Withdrawed_Account,relator,kind,False,True,False,1,0,4
Withdrawing_ATM,role,role,False,True,False,3,0,6
