class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Appraiser,role,role,False,True,False,2,0,2
Canceled_NC,phase,phase,False,True,False,2,0,9
Cause,kind,kind,True,False,False,0,1,1
Corretive_Action,subkind,subkind,False,True,False,1,0,10
Effective_Issue,phase,phase,False,True,False,2,0,10
Evaluation_Criteria,kind,kind,True,False,False,0,2,2
Evaluation_Find,category,category,True,False,False,0,9,9
Finished_Issue,phase,phase,False,False,True,1,2,10
Finished_NC,role,role,False,True,False,3,0,9
Human_Resource,role,role,False,False,True,1,1,2
Identified_NC,phase,phase,False,True,False,2,0,9
Implementing_Issue,phase,phase,False,True,False,1,0,10
Improvement_Suggestion,subkind,subkind,False,True,False,1,0,10
Issue,kind,kind,True,False,False,0,10,10
Lesson_Learned,kind,kind,False,True,False,1,0,9
NC_Cause,role,role,False,True,False,1,0,1
NC_Issue,role,role,False,True,False,1,0,10
Non_Effective_Issue,phase,phase,False,True,False,2,0,10
Noncompliance,kind,kind,False,False,True,1,6,9
Person,kind,kind,True,False,False,0,2,2
Planned_Issue,phase,phase,False,True,False,1,0,10
Planned_NC,role,role,False,True,False,3,0,9
Preventive_Action,subkind,subkind,False,True,False,1,0,10
Problem,kind,kind,False,True,False,1,0,9
Problem_Issue,role,role,False,True,False,1,0,10
Process_Evaluation_Criteria,subkind,subkind,False,True,False,1,0,2
Registered_NC,phase,phase,False,False,True,2,3,9
Resolving_NC,role,role,False,True,False,3,0,9
Work_Product_Evaluation_Criteria,subkind,subkind,False,True,False,1,0,2
