class_name,class_original_classification,classification_final_list
Administrative_Department,subkind,can
Administrative_Organization,subkind,is
Advisory,subkind,can
Allocated_Department,role,can
Allocated_Office,role,is
Board,subkind,can
Border_Station,phase,is
Central_Office,phase,is
Department,subkind,is
Diagnostic_Laboratory,subkind,is
Local_Office,phase,can
Mobile_Unit,subkind,is
Office,subkind,is
Operational_Organization,subkind,is
Organization,kind,can
Regional_Office,phase,can
Section,subkind,can
Service_Station,phase,is
Station,subkind,is
Technical_Department,subkind,is
