class_name,class_original_classification,classification_final_list
Artifact,category,is
Artifact_CI,role,can
Artifact_Copy,category,is
Baseline,subkind,is
CR_Being_Solved,phase,is
Change_Request_(CR),subkind,is
Closed_CR,phase,is
Communicate_CR,phase,is
Composite_Artifact,category,is
Configuration_Audit_Report,subkind,is
Configuration_Item_(CI),rolemixin,can
Configuration_Management_Plan,subkind,can
Deliverable_Product,subkind,is
Document,kind,can
Evaluate_CR,phase,can
Information_Item,kind,is
Item,mixin,can
Model,kind,can
Reviewed_CR,phase,is
Simple_Artifact,category,is
Software_Item,kind,is
Software_Product,kind,can
Solved_CR,phase,can
