class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Chapter(ki),kind,kind,True,False,False,0,2,2
Course,kind,kind,True,False,False,0,3,3
Course_started,phase,phase,False,True,False,1,0,3
Credit_non_passed,phase,phase,False,True,False,1,0,3
Credit_passed,phase,phase,False,True,False,1,0,3
Exercise(ci),kind,kind,True,False,False,0,2,2
Person,kind,kind,True,False,False,0,2,2
Project(p),kind,kind,True,False,False,0,2,2
Student,role,role,False,True,False,1,0,2
Teacher,role,role,False,True,False,1,0,2
Test(t),kind,kind,True,False,False,0,2,2
ci_non_passed,phase,phase,False,True,False,1,0,2
ci_passed,phase,phase,False,True,False,1,0,2
ki_non_passed,phase,phase,False,True,False,1,0,2
ki_passed,phase,phase,False,True,False,1,0,2
p_non_passed,phase,phase,False,True,False,1,0,2
p_passed,phase,phase,False,True,False,1,0,2
t_non_passed,phase,phase,False,True,False,1,0,2
t_passed,phase,phase,False,True,False,1,0,2
