class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Accepted,phase,phase,False,True,False,1,0,2
Account,kind,kind,True,False,False,0,5,5
Active,phase,phase,False,True,False,2,0,3
Cancelled,phase,phase,False,True,False,1,0,2
Company,collective,kind,True,False,False,0,4,4
Customer,role,role,False,True,False,1,0,5
Employee,role,role,False,False,True,2,1,5
FacilityBooking,category,category,True,False,False,0,3,3
Inactive,phase,phase,False,True,False,2,0,3
Instructor,role,role,False,True,False,3,0,5
Instructor_Booking,kind,kind,False,True,False,1,0,3
Instructor_confirmation,relator,kind,True,False,False,0,2,2
ManagementUsers,role,role,False,False,True,1,3,5
Mediated_by_Company_ownership,role,role,False,True,False,1,0,4
Mediated_by_Confirmation,role,role,False,True,False,1,0,4
Mediated_by_building_management,role,role,False,True,False,1,0,4
Mediated_by_employment_contract,role,role,False,True,False,1,0,4
Owner,role,role,False,True,False,2,0,5
Person,kind,kind,True,False,False,0,3,3
Shared_Booking,kind,kind,False,True,False,1,0,3
Single_Booking,kind,kind,False,True,False,1,0,3
User,role,role,False,False,True,1,2,3
