class_name,class_original_classification,classification_final_list
Book,kind,is
Collection,kind,can
Comment,subkind,can
Commentable,category,can
Corporate_Resource,category,can
Course,kind,can
Creatable,category,is
Creation,subkind,can
Deletable,category,can
Delete,subkind,is
Edit,subkind,is
Editable,category,can
Follow,subkind,is
Interaction,kind,can
Learning_Path,kind,can
Link,kind,can
Podcast,kind,is
Private_Interaction,subkind,can
Public_Interaction,subkind,is
Public_Resource,category,can
Resource,category,can
Search,subkind,can
Upvotable,category,can
Upvote,subkind,can
Video,kind,is
View,subkind,can
Viewable,category,can
