execution_number,input_class_name,input_class_stereotype
1,Diagnosis,subkind
2,DiagnosticProcedure,subkind
3,Doctor,role
4,DoseSchedule,kind
5,Drug,kind
6,GeneralPractitioner,role
7,MedicalCondition,kind
8,MedicalHistory,kind
9,MedicalProcedure,kind
10,MedicalProcedureOutcome,kind
11,MedicalProcedureTrigger,mixin
12,MildSymptom,phase
13,NamedEntity,category
14,NonSevereOutcome,phase
15,PalliativeProcedure,subkind
16,Patient,role
17,PatientReport,kind
18,Person,kind
19,PhysicalExam,subkind
20,PrescribedDoseSchedule,role
21,PrescribedDrug,role
22,Prescription,kind
23,PresenceMedicalProcedure,subkind
24,PreviousIllness,subkind
25,RemoteMedicalProcedure,subkind
26,ReportingPatient,role
27,SevereOutcome,phase
28,SevereSymptom,phase
29,SpecialistDoctor,role
30,SpecialistMedicalProcedure,role
31,SurgicalProcedure,subkind
32,Symptom,subkind
33,TherapeuticProcedure,subkind
34,TreatmentPatient,role
35,User,subkind
36,VisitRequest,subkind
