class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Attack,event,other,False,True,False,3,0,4
Attacker,rolemixin,rolemixin,False,True,False,2,0,5
Control_Chain_Event,event,other,False,True,False,1,0,2
Control_Event,event,other,False,True,False,1,0,2
Experience_Risk_Assesment,subkind,subkind,False,True,False,1,0,2
Experience_Value_Asc.,subkind,subkind,False,True,False,1,0,2
Generic_Intention,category,category,False,True,False,1,0,2
Impact_Event,event,other,False,True,False,1,0,2
Intention,category,category,True,False,False,0,2,2
Loss_Event,event,other,False,True,False,1,0,4
Loss_Event_Type,type,other,False,True,False,1,0,2
Object_Risk_Assesment,subkind,subkind,False,True,False,1,0,2
Object_Value_Asc.,subkind,subkind,False,True,False,1,0,2
Protection_Event,event,other,True,False,False,0,2,2
Risk_Assessment,relator,kind,True,False,False,0,2,2
Risk_Assessor,rolemixin,rolemixin,False,True,False,1,0,5
Risk_Event,event,other,True,False,False,0,3,4
Risk_Event_Type,type,other,True,False,False,0,2,2
Risk_Subject,rolemixin,rolemixin,False,True,False,1,0,5
Specific_Intention,category,category,False,True,False,1,0,2
Threat_Event,event,other,False,False,True,1,1,4
Threat_Event_Type,type,other,False,True,False,1,0,2
Threat_Object,rolemixin,rolemixin,True,False,False,0,1,5
Trigger_Event,event,other,False,True,False,1,0,2
UFO::Action,event,other,True,False,False,0,1,4
UFO::Agent,category,category,True,False,False,0,4,5
Value_Ascription,relator,kind,True,False,False,0,2,2
Value_Event,event,other,True,False,False,0,2,2
Value_Subject,rolemixin,rolemixin,False,True,False,1,0,5
